id,name,accountId,hasaddress,infoempresa,web,addressLocality,streetName,streetNumber,floor,latitude,longitude,localityToShow,phoneToShow,freeCallNumber,emails
17037361,Iriarte Construcciones,22810098,True,,http://www.iriarteconstrucciones.com,Buenos Aires|Berazategui,Calle 140,2310,,-34.775092,-58.2104958,Berazategui - Buenos Aires,(011) 15 - 5849 - 3164,+5491158493164,iriarte.construcciones@outlook.com
15940659,Agrimensura & Técnica Siracusa - Di Giorgio,01044092,True,,http://www.agrimensuraytecnica.com,Buenos Aires|Punta Alta,9 De Julio,256,,-38.87379,-62.08169,Punta Alta - Buenos Aires,(02932) 15 - 51 - 9727,+5492932519727,estudio@agrimensurammo.com
17052346,Casas Nórdicas,22811345,True,"Nos desarrollamos en el mercado inmobiliario del corredor Canning - Cañuelas - San Vicente, ofreciendo un servicio de excelente calidad, con planes de financiación a medida y diseños exclusivos o personalizados; que se adaptan a las necesidades de cada cliente.",http://www.casas-nordicas.com,Buenos Aires|Ezeiza,J Giribone,909,3,-34.85585,-58.50456,Ezeiza - Buenos Aires,(011) 15 - 4027 - 7932,+5491140277932,info@casas-nordicas.com
15594228,Volquetes Nino,00746157,True,"Brindamos soluciones integrales relacionadas con retiro de tierra, escombros y residuos de fábricas, obras, particulares y comercios. Brindamos nuestros servicios a empresas, particulares, arquitectos, piletas y construcciones. Cuando necesite volquetes o volquetines, nosotros somos su mejor opción en la zona.",http://www.volquetesnino.com,Buenos Aires|Lomas del Mirador,C Tejedor,641,,-34.674632,-58.518005,Lomas del Mirador - Buenos Aires,(011) 4454 - 5030,+541144545030,volquetesnino@hotmail.com
16990277,Construcciones Leo,22806297,True,"Nos dedicamos a la construcción de obras públicas y privadas. Brindamos servicios de Mantenimiento Integral y Obras. Nuestra experiencia abarca una amplia gama de servicios que incluyen limpieza, construcción, mantenimiento en general y refacción de obras. Contamos con un equipo de arquitectos, ingenieros y diseñadores altamente calificados para llevar a cabo cada proyecto de principio a fin. Hacé tu consulta por Whatsapp, estamos para ayudarte.",http://www.construccionesleo.com,Ciudad de Buenos Aires|Villa Devoto,Simbrón,4574,,-34.6099353,-58.5135658,Villa Devoto - Ciudad de Buenos Aires,(011) 15 - 6861 - 3487,+5491168613487,info@construccionesleo.com
16564867,A y Q - Construcciones,21911663,True,,www.aygconstrucciones.com.ar,Buenos Aires|San Miguel,Zuviría,1259,,-34.54988,-58.71356,San Miguel - Buenos Aires,(011) 15 - 4945 - 1789,+5491149451789,dpg.arq@hotmail.com.ar
15017112,Agrimensura Mar del Plata Packebusch,00778824,True,,,Buenos Aires|Mar del Plata,Italia,160,,-37.9769,-57.55685,Mar del Plata - Buenos Aires,(0223) 15 - 553 - 0475,+5492235530475,estudiopk@hotmail.com
13914046,Territorio Arte-Taller de Arquitectura,21791796,True,,,Buenos Aires|Bella Vista,Río Iguazú,1343,,-34.57813,-58.69177,Bella Vista - Buenos Aires,(011) 15 - 3881 - 1502,+5491138811502,territorioarte@gmail.com
14055889,Antognozzi David - Vittori Silvina - Arquitectos,00043924,True,,,Buenos Aires|Bahía Blanca,L M Drago,23,6,-38.720074,-62.266388,Bahía Blanca - Buenos Aires,(0291) 450 - 1460,+542914501460,
10413328,Saco Muzaber,01373987,True,,http://www.saccomuzaber.com.ar/,Buenos Aires|Villa Gesell,M Cané E/el Lucero Y El Ceibo,,,,,Villa Gesell - Buenos Aires,(02255) 46 - 3221,+542255463221,
